ALXN
ABC
KMX
HAS
FISV
DHI
EIX
PG
PNC
XEL
TFX
CELG
COG
MDT
RCL
PEG
AEE
NWL
KMB
UAL
VZ
MS
PXD
PRU
AAP
DISCA
EA
VAR
LLY
BBT
WAB
HBAN
L
DG
PVH
ALB
AMGN
IT
ZBH
COO
AMAT
COST
ALK
BEN
JNJ
RTN
HOLX
TMK
DE
PKG
CPB
MCO
BAX
ITW
FAST
ROST
CBOE
LEN
NUE
ARNC
NKTR
CSX
FDX
COF
STT
PLD
IFF
UNH
DVN
SNPS
WY
DRI
FLT
FANG
FCX
ECL
MTD
OXY
CLX
NVDA
DRE
GPC
KSU
AMT
WEC
INTU
LOW
SWK
WBA
BLL
SYK
USB
YUM
GLW
DFS
CF
ROP
ADBE
RF
AMP
LMT
MMC
LEG
MKTX
WLTW
SEE
XRX
ETR
NBL
MHK
NOC
PNW
IRM
EW
ADSK
EMN
SLB
DVA
RJF
PGR
GIS
SO
STX
SRE
CAH
URI
CHRW
AWK
MNST
JWN
UPS
TMUS
TDG
MU
TSN
AMG
RSG
INCY
MSI
ABT
CE
AAPL
AES
HCP
HFC
TMO
CHTR
MXIM
WAT
AZO
GS
CERN
FE
BWA
NTAP
CRM
CTSH
HOG
FL
NEE
CMA
CTXS
AXP
D
SCHW
AON
STZ
BSX
C
TXT
FLS
M
LNT
PM
CI
NSC
SYY
VTR
EMR
RL
PBCT
EOG
BK
PHM
GOOGL
DGX
TRIP
CTL
MTB
BLK
VNO
CBS
PFG
AAL
PPG
JCI
TXN
AIZ
VMC
ADP
HP
BDX
FRT
ADS
HD
MDLZ
ABMD
ZION
SJM
CBRE
LH
PFE
BXP
WM
GD
CTAS
CPRI
KIM
STI
ULTA
MCK
CNC
MRO
AME
UTX
TIF
OKE
AKAM
MMM
TROW
LRCX
FMC
MLM
WMB
UHS
GRMN
PRGO
A
ORLY
UNP
EQIX
DXC
PSX
AOS
GE
KR
BBY
PSA
NFLX
ADI
AJG
AEP
REGN
NI
UAA
ALGN
GWW
HUM
KSS
WU
WHR
AMZN
ADM
VRSK
VLO
NRG
MET
NDAQ
BHGE
ATO
ETFC
LYB
XEC
ISRG
CME
CPRT
BKNG
ALL
FBHS
WDC
CHD
SLG
ED
PPL
TRV
SBAC
CAG
MA
IP
CMS
TPR
MAC
AVGO
CAT
DIS
EBAY
GM
EFX
XLNX
LKQ
MSFT
PEP
DLR
KMI
NLSN
V
QCOM
MKC
T
BIIB
ANSS
TEL
FLIR
EXR
CSCO
F
FRC
ARE
FTNT
VIAB
AFL
DISH
GPN
CVS
WCG
MAS
IR
HII
MSCI
VRSN
TGT
VRTX
ESS
HON
KO
RHI
FIS
HSY
MO
HBI
HIG
APTV
CL
COP
PNR
NOV
MRK
JEC
FITB
HAL
MGM
APA
KLAC
CINF
CNP
CCL
XOM
AVY
TSCO
BMY
MAR
MOS
SPG
LNC
NKE
ROL
SNA
FFIV
WFC
APC
HES
DOV
MYL
TSS
AMD
IVZ
MCHP
CCI
GOOG
DTE
AIV
TAP
GPS
AIG
ACN
INTC
NTRS
IPG
RE
EXC
O
ATVI
JBHT
IDXX
KEY
DUK
WMT
LIN
APD
HCA
TTWO
CB
SHW
GILD
JEF
EXPD
BAC
UNM
XYL
IBM
AVB
SIVB
K
BA
PWR
ES
ABBV
CDNS
WELL
FTI
DISCK
JKHY
FB
CXO
ILMN
APH
PH
VFC
JNPR
SBUX
BR
NEM
TJX
EVRG
PCAR
WYNN
ICE
DAL
CMI
DD
SWKS
MPC
PAYX
HPQ
CVX
XRAY
ANTM
HRL
ROK
LB
SYMC
DHR
REG
EXPE
IPGP
MCD
ETN
CMCSA
JPM
RMD
HST
SPGI
PKI
MAA
EL
UDR
HSIC
CMG
HRB
OMC
LUV
DLTR
EQR
AGN
ORCL
